,Property_Name,Property_Type,Area_in_Sft,Price,Page_No.,bhk,Posted_On
118,Vessella Meadows,3 Bedroom Independent House in Narsingi,"2,900-2,908 sq.ft. (269-270 sq.m.) Built-up Area","₹ 4.64  - 4.94 Cr₹ 16,500/sq.ft.",5,3 BHK4 Baths,"Posted on 01st Jul, 2021 by Builder"
119,Pavan Green West,Residential land / Plot in Rudraram,"1,350-9,000 sq.ft. (125-836 sq.m.) Plot Area",₹ 28.5 Lac - 1.9 Cr,5,,"Posted on 18th Jul, 2021 by Dealer"
120,Salarpuria Sattva Magnus,4 BHK Residential Apartment in Shaikpet,"2,960-2,965 sq.ft. (275-275 sq.m.) Super built-up Area",₹ 2.7 Cr Onwards,5,4 BHK5 Baths,"Posted on 09th Jul, 2021 by Builder"
121,Salarpuria Sattva Magnus,3 BHK Residential Apartment in Shaikpet,"1,495-2,300 sq.ft. (139-214 sq.m.) Super built-up Area",₹ 1.27 Cr Onwards,5,3 BHK,"Posted on 09th Jul, 2021 by Builder"
122,Saanvi Pride Homes,3 Bedroom Independent House in Kompally,"2,262-2,700 sq.ft. (210-251 sq.m.) Built-up Area","₹ 1.7  - 2.03 Cr₹ 7,500/sq.ft.",5,3 BHK3 Baths,"Posted on 05th Jun, 2021 by Builder"
123,Pallavi Gardenia,3 BHK Residential Apartment in Nagole,"1,432-1,883 sq.ft. (133-175 sq.m.) Super built-up Area","₹ 71.59  - 94.13 Lac₹ 4,999/sq.ft.",5,3 BHK,Posted on Today by Builder
124,Pallavi Gardenia,3 BHK Residential Apartment in Nagole,"1,432-1,883 sq.ft. (133-175 sq.m.) Super built-up Area","₹ 71.59  - 94.13 Lac₹ 4,999/sq.ft.",5,3 BHK,Posted on Today by Builder
125,Pallavi Gardenia,2 BHK Residential Apartment in Nagole,"1,316 sq.ft. (122 sq.m.) Super built-up Area","₹ 65.79 Lac₹ 4,999/sq.ft.",6,2 BHK2 Baths,Posted on Today by Builder
126,Pallavi Gardenia,3 BHK Residential Apartment in Nagole,"1,432-1,883 sq.ft. (133-175 sq.m.) Super built-up Area","₹ 71.59  - 94.13 Lac₹ 4,999/sq.ft.",6,3 BHK,Posted on Today by Builder
127,Pallavi Gardenia,2 BHK Residential Apartment in Nagole,"1,316 sq.ft. (122 sq.m.) Super built-up Area",Price on Request,6,2 BHK2 Baths,Posted on Today by Builder
128,Pallavi Gardenia,2 BHK Residential Apartment in Nagole,"1,316 sq.ft. (122 sq.m.) Super built-up Area",Price on Request,6,2 BHK2 Baths,Posted on Today by Builder
129,Infocity Eyrie,3 BHK Residential Apartment in Chandanagar,"1,765-1,905 sq.ft. (164-177 sq.m.) Carpet Area",₹ 95.31 Lac - 1.03 Cr,6,3 BHK,"Posted on 05th Apr, 2021 by Builder"
130,Jaswitha Luxor,3 BHK Residential Apartment in Kokapet,"1,960-2,300 sq.ft. (182-214 sq.m.) Super built-up Area","₹ 1.14  - 1.33 Cr₹ 5,800/sq.ft.",6,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Builder"
131,Suprabhat Heights,Residential land / Plot in Bhongir,"1,611-10,530 sq.ft. (150-978 sq.m.) Plot Area","₹ 26.84 Lac - 1.75 Cr₹ 1,665/sq.ft.",6,,"Posted on 22nd Jul, 2021 by Builder"
132,Salarpuria Sattva Magnus,2 BHK Residential Apartment in Shaikpet,"1,200-1,280 sq.ft. (111-119 sq.m.) Super built-up Area",₹ 1.03 Cr Onwards,6,2 BHK2 Baths,"Posted on 09th Jul, 2021 by Builder"
133,Rajapushpa Provincia,3 BHK Residential Apartment in Narsingi,"1,715-2,660 sq.ft. (159-247 sq.m.) Super built-up Area",₹ 1.15  - 1.78 Cr,6,3 BHK,Posted on Yesterday by Builder
134,SMR Vinay Boulder Woods,4 BHK Residential Apartment in Bandlaguda,"2,460 sq.ft. (229 sq.m.) Super built-up Area","₹ 1.35 Cr₹ 5,500/sq.ft.",6,4 BHK4 Baths,"Posted on 01st Jun, 2021 by Builder"
135,Sunyuga Elegance,3 BHK Residential Apartment in Kompally,"1,400-2,260 sq.ft. (130-210 sq.m.) Built-up Area",₹ 56  - 90.4 Lac,6,3 BHK,Posted on Yesterday by Builder
136,Sunyuga Elegance,2 BHK Residential Apartment in Kompally,"1,290 sq.ft. (120 sq.m.) Built-up Area",₹ 51.6 Lac,6,2 BHK,Posted on Yesterday by Builder
137,Sunyuga Vista,2 BHK Residential Apartment in Kompally,"1,175-1,220 sq.ft. (109-113 sq.m.) Super built-up Area",₹ 49.34  - 51.23 Lac,6,2 BHK2 Baths,Posted on Yesterday by Builder
138,Sunyuga Vista,3 BHK Residential Apartment in Kompally,"1,500-1,840 sq.ft. (139-171 sq.m.) Super built-up Area",₹ 62.99  - 77.26 Lac,6,3 BHK3 Baths,Posted on Yesterday by Builder
139,SMR Vinay Boulder Woods,2 BHK Residential Apartment in Bandlaguda,"1,340-1,605 sq.ft. (124-149 sq.m.) Super built-up Area","₹ 73.7  - 88.28 Lac₹ 5,500/sq.ft.",6,2 BHK2 Baths,"Posted on 01st Jun, 2021 by Builder"
140,NRI Golden City,Residential land / Plot in Maheshwaram,"7,362 sq.ft. (684 sq.m.) Plot Area","₹ 1.06 Cr₹ 1,630/sq.ft.",6,,"Posted on 17th Mar, 2021 by Owner"
141,GKRS Bliss I,1 BHK Residential Apartment in Bandlaguda,"970-1,057 sq.ft. (90-98 sq.m.) Super built-up Area",₹ 44.76  - 48.4 Lac,6,1 BHK,"Posted on 21st Apr, 2021 by Builder"
142,,4 Bedroom Independent House in Gachibowli,206 sq.ft. (19 sq.m.) Plot Area,"₹ 4.5 Cr₹ 218,446/sq.ft.",6,4 BHK4 Baths,"Posted on 28th Jul, 2021 by Owner"
143,,6 Bedroom Independent House in Nacharam,"1,890 sq.ft. (176 sq.m.) Plot Area","₹ 3.6 Cr₹ 19,048/sq.ft.",6,6 BHK5 Baths,"Posted on 05th Apr, 2021 by Owner"
144,Real Visions Venus Grand City,Residential land / Plot in Bhongir,"900-3,600 sq.ft. (84-334 sq.m.) Plot Area",₹ 10.01  - 40.03 Lac,6,,"Posted on 24th May, 2021 by Dealer"
145,Nul,2 BHK Residential Apartment in Shamirpet,"1,100 sq.ft. (102 sq.m.) Built-up Area","₹ 32 Lac₹ 2,909/sq.ft.",6,2 BHK2 Baths,"Posted on 27th Jul, 2021 by Builder"
146,Asrithas Jewels County,3 BHK Residential Apartment in Krishna Reddy Pet,"1,460-1,955 sq.ft. (136-182 sq.m.) Built-up Area","₹ 65.7  - 87.97 Lac₹ 4,500/sq.ft.",6,3 BHK,"Posted on 05th Aug, 2021 by Dealer"
147,Affluence,4 Bedroom Independent House in LB Nagar,"3,745-4,132 sq.ft. (348-384 sq.m.) Built-up Area",₹ 2.98  - 3.28 Cr,6,4 BHK4 Baths,"Posted on 06th Aug, 2021 by Builder"
148,AV SVS Magnifique,2 BHK Residential Apartment in Chowdhariguda,"1,015 sq.ft. (94 sq.m.) Super built-up Area",₹ 30.44 Lac,6,2 BHK,"Posted on 06th Aug, 2021 by Builder"
149,SMR Vinay Boulder Woods,3 BHK Residential Apartment in Bandlaguda,"1,390-2,240 sq.ft. (129-208 sq.m.) Super built-up Area","₹ 76.45 Lac - 1.23 Cr₹ 5,500/sq.ft.",6,3 BHK3 Baths,"Posted on 01st Jun, 2021 by Builder"
150,Sree Dhrisha Homes,3 BHK Residential Apartment in Miyapur,"2,200 sq.ft. (204 sq.m.) Super built-up Area",₹ 1.23 Cr,7,3 BHK3 Baths,"Posted on 09th Jun, 2021 by Builder"
151,Codename Talk of Hyderabad,3 BHK Residential Apartment in Bachupally,"1,353 sq.ft. (126 sq.m.) Super built-up Area",₹ 70.36 Lac,7,3 BHK2 Baths,"Posted on 23rd Jul, 2021 by Dealer"
152,Aarohi King Luxury Residency,2 BHK Residential Apartment in Kompally,"1,290-1,495 sq.ft. (120-139 sq.m.) Super built-up Area",₹ 33.53  - 38.86 Lac,7,2 BHK,"Posted on 06th Aug, 2021 by Builder"
153,Sophists Myra,2 BHK Residential Apartment in Kompally,"1,290-1,295 sq.ft. (120-120 sq.m.) Super built-up Area",₹ 49.02  - 49.21 Lac,7,2 BHK2 Baths,"Posted on 26th Jul, 2021 by Builder"
154,Bhashyam Premium County,Residential land / Plot in Tukkuguda,"1,080-9,000 sq.ft. (100-836 sq.m.) Plot Area",Price on Request,7,,"Posted on 30th Jul, 2021 by Dealer"
155,GKRS Bliss I,3 BHK Residential Apartment in Bandlaguda,"1,730 sq.ft. (161 sq.m.) Super built-up Area",₹ 78.67 Lac,7,3 BHK,"Posted on 21st Apr, 2021 by Builder"
156,MNR Resorts,Residential land / Plot in Maheshwaram,"2,178-5,445 sq.ft. (202-506 sq.m.) Plot Area",₹ 17.42  - 43.56 Lac₹ 800/sq.ft.,7,,"Posted on 16th Jul, 2021 by Dealer"
157,Grand Arena,Residential land / Plot in Maheshwaram,"1,503-7,534 sq.ft. (140-700 sq.m.) Plot Area","₹ 25.06 Lac - 1.26 Cr₹ 1,666/sq.ft.",7,,"Posted on 31st Jul, 2021 by Builder"
158,Ramky One Harmony,2 BHK Residential Apartment in Pragathi Nagar,"1,155-1,160 sq.ft. (107-108 sq.m.) Super built-up Area",₹ 69.55  - 69.84 Lac,7,2 BHK2 Baths,"Posted on 02nd Aug, 2021 by Builder"
159,Ramky One Harmony,3 BHK Residential Apartment in Pragathi Nagar,"1,540-1,595 sq.ft. (143-148 sq.m.) Super built-up Area",₹ 95.11  - 98.38 Lac,7,3 BHK3 Baths,"Posted on 02nd Aug, 2021 by Builder"
160,Ramky One Kosmos,2 BHK Residential Apartment in Nallagandla,"1,070 sq.ft. (99 sq.m.) Super built-up Area","₹ 88 Lac₹ 8,644/sq.ft.",7,2 BHK2 Baths,"Posted on 12th Jul, 2021 by Owner"
161,Asrithas Jewels County,2 BHK Residential Apartment in Krishna Reddy Pet,"1,134-1,446 sq.ft. (105-134 sq.m.) Built-up Area","₹ 51.03  - 65.07 Lac₹ 4,500/sq.ft.",7,2 BHK,"Posted on 05th Aug, 2021 by Dealer"
162,GKRS Bliss I,2 BHK Residential Apartment in Bandlaguda,"1,511 sq.ft. (140 sq.m.) Super built-up Area",₹ 67.79 Lac,7,2 BHK,"Posted on 21st Apr, 2021 by Builder"
163,Ayyanna Pristine,4 BHK Residential Apartment in Madhapur,"3,130-3,250 sq.ft. (291-302 sq.m.) Super built-up Area","₹ 3.44  - 3.58 Cr₹ 11,000/sq.ft.",7,4 BHK,Posted on Yesterday by Dealer
164,BBG True Green,Residential land / Plot in Shamshabad,"1,350-1,710 sq.ft. (125-159 sq.m.) Plot Area",Price on Request,7,,"Posted on 01st Jul, 2021 by Dealer"
165,Sri Alekya Tarang City,Residential land / Plot in Choutuppal,"1,485-3,600 sq.ft. (138-334 sq.m.) Plot Area",₹ 14.18  - 34.38 Lac₹ 955/sq.ft.,7,,"Posted on 01st Jul, 2021 by Dealer"
166,SSD Aditya Nest,2 BHK Residential Apartment in Narsingi,900-907 sq.ft. (84-84 sq.m.) Super built-up Area,₹ 55.01  - 55.44 Lac,7,2 BHK2 Baths,"Posted on 06th Aug, 2021 by Dealer"
167,Greenmark Mayfair Apartments,2 BHK Residential Apartment in Gachibowli,"1,261 sq.ft. (117 sq.m.) Super built-up Area","₹ 68.09 Lac₹ 5,400/sq.ft.",7,2 BHK,"Posted on 27th Jul, 2021 by Dealer"
168,Alpine GMR Springfields,3 BHK Residential Apartment in Alwal,"1,296 sq.ft. (120 sq.m.) Super built-up Area",₹ 54.42 Lac,7,3 BHK3 Baths,"Posted on 05th Aug, 2021 by Dealer"
169,JB Nature Valley,Residential land / Plot in Choutuppal,"1,503-5,400 sq.ft. (140-502 sq.m.) Plot Area",Price on Request,7,,"Posted on 09th Jul, 2021 by Dealer"
170,Samooha Golden Gate Township,Residential land / Plot in Yacharam,"1,440-7,274,520 sq.ft. (134-675825 sq.m.) Plot Area",Price on Request,7,,"Posted on 30th Jun, 2021 by Dealer"
171,Virtusa Tuxedo Park,Residential land / Plot in Shad nagar,"1,800-3,600 sq.ft. (167-334 sq.m.) Plot Area","₹ 27  - 54 Lac₹ 1,500/sq.ft.",7,,"Posted on 02nd Aug, 2021 by Dealer"
172,Urbanrise Residences,2 BHK Residential Apartment in Bachupally,"1,099 sq.ft. (102 sq.m.) Carpet Area",₹ 57.14 Lac,7,2 BHK2 Baths,"Posted on 16th Jul, 2021 by Dealer"
173,Urbanrise Residences,3 BHK Residential Apartment in Bachupally,"1,353-1,914 sq.ft. (126-178 sq.m.) Carpet Area",₹ 70.34  - 99.51 Lac,7,3 BHK3 Baths,"Posted on 16th Jul, 2021 by Dealer"
174,Sri Gajanana Homes,3 BHK Residential Apartment in Kompally,"1,500-2,370 sq.ft. (139-220 sq.m.) Super built-up Area","₹ 61.5  - 97.17 Lac₹ 4,100/sq.ft.",7,3 BHK3 Baths,"Posted on 21st May, 2021 by Builder"
175,Codename Talk of Hyderabad,3 BHK Residential Apartment in Bachupally,"1,353-1,617 sq.ft. (126-150 sq.m.) Super built-up Area",₹ 70.34  - 84.07 Lac,8,3 BHK,"Posted on 21st Jul, 2021 by Dealer"
176,NCD Vivanta Central Court Annex,2 BHK Residential Apartment in Mokila,"1,219-1,268 sq.ft. (113-118 sq.m.) Super built-up Area",₹ 51.81  - 53.89 Lac,8,2 BHK2 Baths,"Posted on 20th May, 2021 by Builder"
177,Alpine GMR Springfields,2 BHK Residential Apartment in Alwal,"1,120 sq.ft. (104 sq.m.) Super built-up Area",₹ 47.03 Lac,8,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Dealer"
178,Codename Talk Of Hyderabad,2 BHK Residential Apartment in Bachupally,752 sq.ft. (70 sq.m.) Carpet Area,₹ 57.14 Lac,8,2 BHK2 Baths,"Posted on 09th Jul, 2021 by Builder"
179,Pavan Green West,Residential land / Plot in Rudraram,"1,350-9,000 sq.ft. (125-836 sq.m.) Plot Area",Price on Request,8,,"Posted on 09th Jul, 2021 by Dealer"
180,NCD Vivanta Central Court Annex,3 BHK Residential Apartment in Mokila,"1,645-2,272 sq.ft. (153-211 sq.m.) Super built-up Area",₹ 69.91  - 96.56 Lac,8,3 BHK,"Posted on 20th May, 2021 by Builder"
181,Vasudaika Cosmo Celesse,Residential land / Plot in Meerkhanpet,"1,323-7,200 sq.ft. (123-669 sq.m.) Plot Area",₹ 11.02  - 59.98 Lac,8,,"Posted on 16th Jul, 2021 by Dealer"
182,Vanabhoomi,Residential land / Plot in Shankarpally,"4,500-9,000 sq.ft. (418-836 sq.m.) Plot Area","₹ 49.99  - 99.99 Lac₹ 1,111/sq.ft.",8,,"Posted on 16th Jul, 2021 by Builder"
183,Emerald Heights Hyderabad,3 BHK Residential Apartment in Pocharam,"1,360 sq.ft. (126 sq.m.) Super built-up Area","₹ 47.6 Lac₹ 3,500/sq.ft.",8,3 BHK3 Baths,"Posted on 31st May, 2021 by Builder"
184,Ridge Sunrise city,Residential land / Plot in Sultanpur,"1,368-4,050 sq.ft. (127-376 sq.m.) Plot Area",₹ 37.99 Lac - 1.12 Cr,8,,"Posted on 14th Jul, 2021 by Builder"
185,Hallmark Vicinia,3 BHK Residential Apartment in Narsingi,"1,686 sq.ft. (157 sq.m.) Carpet Area","₹ 1.3 Cr₹ 7,710/sq.ft.",8,3 BHK2 Baths,"Posted on 06th Jul, 2021 by Owner"
186,Pavan Green West,Residential land / Plot in Rudraram,"1,350-9,000 sq.ft. (125-836 sq.m.) Plot Area",Price on Request,8,,"Posted on 02nd Jun, 2021 by Dealer"
187,Sri Kalyan Homes Fortuna,3 BHK Residential Apartment in B.N reddy nagar,"1,560 sq.ft. (145 sq.m.) Carpet Area",Price on Request,8,3 BHK,"Posted on 24th Jun, 2021 by Builder"
188,Codename Talk of Hyderabad,4 BHK Residential Apartment in Bachupally,"1,914-2,021 sq.ft. (178-188 sq.m.) Super built-up Area",₹ 99.51 Lac - 1.05 Cr,8,4 BHK3 Baths,"Posted on 28th Jul, 2021 by Dealer"
189,Codename Talk of Hyderabad,3 BHK Residential Apartment in Bachupally,"1,353-1,617 sq.ft. (126-150 sq.m.) Super built-up Area",₹ 70.34  - 84.07 Lac,8,3 BHK,"Posted on 28th Jul, 2021 by Dealer"
190,Bhashyam Premium County,Residential land / Plot in Tukkuguda,"1,080-9,000 sq.ft. (100-836 sq.m.) Plot Area",Price on Request,8,,"Posted on 20th Jul, 2021 by Dealer"
191,BVR SV Electronic City,Residential land / Plot in Maheshwaram,"1,503-7,740 sq.ft. (140-719 sq.m.) Plot Area",₹ 23.37 Lac - 1.2 Cr,8,,"Posted on 15th Jun, 2021 by Dealer"
192,Shivantha Gardenia,2 BHK Residential Apartment in Isnapur,895 sq.ft. (83 sq.m.) Super built-up Area,₹ 31.32 Lac,8,2 BHK,"Posted on 07th Aug, 2021 by Dealer"
193,Green Home English County,Residential land / Plot in Thimmapur,"1,620-2,943 sq.ft. (151-273 sq.m.) Plot Area",Price on Request,8,,"Posted on 21st Jun, 2021 by Builder"
194,Codename Talk of Hyderabad,4 BHK Residential Apartment in Bachupally,"1,914-2,021 sq.ft. (178-188 sq.m.) Super built-up Area",₹ 99.51 Lac - 1.05 Cr,8,4 BHK3 Baths,"Posted on 21st Jul, 2021 by Dealer"
195,Codename Talk of Hyderabad,2 BHK Residential Apartment in Bachupally,"1,099 sq.ft. (102 sq.m.) Super built-up Area",₹ 57.14 Lac,8,2 BHK2 Baths,"Posted on 21st Jul, 2021 by Dealer"
196,Codename Talk of Hyderabad,4 BHK Residential Apartment in Bachupally,"1,914-2,021 sq.ft. (178-188 sq.m.) Super built-up Area",₹ 99.51 Lac - 1.05 Cr,8,4 BHK3 Baths,"Posted on 16th Jul, 2021 by Dealer"
197,Codename Talk of Hyderabad,3 BHK Residential Apartment in Bachupally,"1,353-1,617 sq.ft. (126-150 sq.m.) Super built-up Area",₹ 70.34  - 84.07 Lac,8,3 BHK,"Posted on 16th Jul, 2021 by Dealer"
198,Codename Talk of Hyderabad,2 BHK Residential Apartment in Bachupally,"1,099 sq.ft. (102 sq.m.) Super built-up Area",₹ 57.14 Lac,8,2 BHK2 Baths,"Posted on 16th Jul, 2021 by Dealer"
199,Sree Bhuvi Sterling County,Residential land / Plot in Ibrahimpatnam,"1,341-3,600 sq.ft. (125-334 sq.m.) Plot Area",₹ 18.61  - 49.97 Lac,8,,"Posted on 06th Aug, 2021 by Dealer"
200,Vertex Pristine,3 BHK Residential Apartment in Hyder Nagar,"1,475-2,030 sq.ft. (137-189 sq.m.) Super built-up Area",Price on Request,9,3 BHK3 Baths,"Posted on 26th Jul, 2021 by Builder"
201,NCS Fortune Medi City,Residential land / Plot in Tukkuguda,"1,323-2,223 sq.ft. (123-207 sq.m.) Plot Area",Price on Request,9,,Posted on Yesterday by Dealer
202,SAI VANDANA,3 BHK Residential Apartment in Saroor nagar,"1,500 sq.ft. (139 sq.m.) Built-up Area","₹ 1.08 Cr₹ 7,200/sq.ft.",9,3 BHK3 Baths,"Posted on 17th Mar, 2021 by Owner"
203,Vasavi Metropolis,3 BHK Residential Apartment in Uppal,"1,350-1,945 sq.ft. (125-181 sq.m.) Super built-up Area",₹ 72.9 Lac - 1.05 Cr,9,3 BHK,"Posted on 01st Jun, 2021 by Builder"
204,Shree Krishna Homes,2 BHK Residential Apartment in Kompally,"1,100-1,240 sq.ft. (102-115 sq.m.) Super built-up Area",₹ 43.99  - 49.59 Lac,9,2 BHK2 Baths,"Posted on 20th Apr, 2021 by Builder"
205,Alpine Infra,2 BHK Residential Apartment in Bollaram,"1,135 sq.ft. (105 sq.m.) Super built-up Area","₹ 45 Lac₹ 3,964/sq.ft.",9,2 BHK2 Baths,"Posted on 23rd Jul, 2021 by Owner"
206,Praneeth Pranav Leaf,3 Bedroom Independent House in Mallampet,"1,650-2,200 sq.ft. (153-204 sq.m.) Built-up Area","₹ 1.46  - 1.93 Cr₹ 8,703/sq.ft.",9,3 BHK3 Baths,"Posted on 11th Jun, 2021 by Builder"
207,Gokul Bhuvanam,3 BHK Residential Apartment in Nizampet,"1,650-1,805 sq.ft. (153-168 sq.m.) Super built-up Area",₹ 99 Lac - 1.08 Cr,9,3 BHK3 Baths,"Posted on 04th Mar, 2021 by Builder"
208,Codename Talk of Hyderabad,2 BHK Residential Apartment in Bachupally,"1,099 sq.ft. (102 sq.m.) Super built-up Area",₹ 57.14 Lac,9,2 BHK2 Baths,"Posted on 28th Jul, 2021 by Dealer"
209,Siri Keerthana's Panchavati apartment,2 BHK Residential Apartment in Kukatpally,"1,150 sq.ft. (107 sq.m.) Super built-up Area","₹ 58 Lac₹ 5,043/sq.ft.",9,2 BHK3 Baths,"Posted on 01st Aug, 2021 by Owner"
210,Jaibery,3 BHK Residential Apartment in Jaibery Colony,"1,584 sq.ft. (147 sq.m.) Built-up Area","₹ 85 Lac₹ 5,969/sq.ft.",9,3 BHK3 Baths,"Posted on 29th Jul, 2021 by Owner"
211,Shivantha Gardenia,2 BHK Residential Apartment in Isnapur,"1,095 sq.ft. (102 sq.m.) Super built-up Area",₹ 38.31 Lac,9,2 BHK,"Posted on 07th Aug, 2021 by Dealer"
212,Urbanrise Spring is in the Air,3 BHK Residential Apartment in Miyapur,"1,039 sq.ft. (97 sq.m.) Super built-up Area",₹ 49.86 Lac,9,3 BHK,"Posted on 28th Jul, 2021 by Dealer"
213,Aparna Hillpark Silver Oaks,3 BHK Residential Apartment in Bandam Kommu,"1,670 sq.ft. (155 sq.m.) Super built-up Area","₹ 1.18 Cr₹ 7,508/sq.ft.",9,3 BHK3 Baths,"Posted on 23rd Jul, 2021 by Owner"
214,JB Serene City,Residential land / Plot in Adibatla,200 sq.ft. (19 sq.m.) Plot Area,"₹ 40 Lac₹ 19,999/sq.ft.",9,,Posted on Yesterday by Owner
215,Ramky One Galaxia,3 BHK Residential Apartment in Nallagandla,"1,511-1,860 sq.ft. (140-173 sq.m.) Super built-up Area","₹ 98.96 Lac - 1.22 Cr₹ 6,549/sq.ft.",9,3 BHK3 Baths,"Posted on 24th Jul, 2021 by Dealer"
216,Lotus Homes,3 BHK Residential Apartment in Nagaram,"1,070-1,105 sq.ft. (99-103 sq.m.) Super built-up Area","₹ 39.86  - 41.16 Lac₹ 3,725/sq.ft.",9,3 BHK,"Posted on 03rd Aug, 2021 by Builder"
217,Urbanrise Spring is in the Air,1 BHK Residential Apartment in Miyapur,518 sq.ft. (48 sq.m.) Super built-up Area,₹ 24.86 Lac,9,1 BHK,"Posted on 28th Jul, 2021 by Dealer"
218,Gruhitha Lavender Sky,3 BHK Residential Apartment in Kollur,"1,450-2,160 sq.ft. (135-201 sq.m.) Super built-up Area",₹ 33.34  - 49.66 Lac,9,3 BHK,"Posted on 29th Jul, 2021 by Dealer"
219,Aliens HUB,Residential land / Plot in Srisailam Highway,"3,600 sq.ft. (334 sq.m.) Plot Area","₹ 40 Lac₹ 1,111/sq.ft.",9,,"Posted on 21st May, 2021 by Builder"
220,Urbanrise Spring is in the Air,2 BHK Residential Apartment in Miyapur,810-918 sq.ft. (75-85 sq.m.) Super built-up Area,₹ 37.25  - 42.22 Lac,9,2 BHK,"Posted on 28th Jul, 2021 by Dealer"
221,My Home Krishe,3 BHK Residential Apartment in Financial District,"2,160 sq.ft. (201 sq.m.) Super built-up Area","₹ 1.84 Cr₹ 8,520/sq.ft.",9,3 BHK3 Baths,"Posted on 07th Aug, 2021 by Owner"
222,Saket Bhu Sattva,3 Bedroom Independent House in Kompally,"1,833-3,144 sq.ft. (170-292 sq.m.) Built-up Area","₹ 1.23  - 2.11 Cr₹ 6,699/sq.ft.",9,3 BHK3 Baths,"Posted on 05th Aug, 2021 by Builder"
223,Vishnu Vistara,3 BHK Residential Apartment in Hi-Tech City,"2,060 sq.ft. (191 sq.m.) Super built-up Area","₹ 1.71 Cr₹ 8,300/sq.ft.",9,3 BHK3 Baths,"Posted on 04th Aug, 2021 by Owner"
224,Silpa Nature Avenue,Residential land / Plot in Srisailam Highway,"1,800-3,600 sq.ft. (167-334 sq.m.) Plot Area",Price on Request,9,,"Posted on 12th Jul, 2021 by Builder"
225,Jyothi vihar,3 BHK Residential Apartment in Malkajgiri,"1,750 sq.ft. (163 sq.m.) Built-up Area","₹ 1.15 Cr₹ 6,571/sq.ft.",10,3 BHK3 Baths,"Posted on 24th Jul, 2021 by Owner"
226,nul,3 BHK Residential Apartment in Kavadiguda,"2,445 sq.ft. (227 sq.m.) Super built-up Area","₹ 2.95 Cr₹ 11,983/sq.ft.",10,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Owner"
227,Hallmark Vesta,2 BHK Residential Apartment in Kollur,"1,266-1,306 sq.ft. (118-121 sq.m.) Super built-up Area",₹ 50.63  - 52.23 Lac,10,2 BHK,"Posted on 26th Jul, 2021 by Builder"
228,Urbanrise Residences,4 BHK Residential Apartment in Bachupally,"2,021 sq.ft. (188 sq.m.) Carpet Area",₹ 1.05 Cr,10,4 BHK4 Baths,"Posted on 07th Aug, 2021 by Dealer"
229,Urbanrise Residences,2 BHK Residential Apartment in Bachupally,"1,099 sq.ft. (102 sq.m.) Carpet Area",₹ 57.14 Lac,10,2 BHK2 Baths,"Posted on 07th Aug, 2021 by Dealer"
230,Urbanrise Residences,3 BHK Residential Apartment in Bachupally,"1,353 sq.ft. (126 sq.m.) Carpet Area",₹ 70.34 Lac,10,3 BHK3 Baths,"Posted on 07th Aug, 2021 by Dealer"
231,EAPL Sri Tirumala Millennium Phase II,3 BHK Residential Apartment in Habsiguda,"1,350-1,800 sq.ft. (125-167 sq.m.) Super built-up Area",₹ 64.8  - 86.4 Lac,10,3 BHK,"Posted on 20th Apr, 2021 by Builder"
232,VR Sreenidhi Enclave,Residential land / Plot in Adibatla,"540-1,620 sq.ft. (50-151 sq.m.) Plot Area",Price on Request,10,,"Posted on 30th Jun, 2021 by Dealer"
233,R Homes Jai Vasavis Orr Height,3 BHK Residential Apartment in Kollur,"1,630-2,422 sq.ft. (151-225 sq.m.) Super built-up Area",₹ 40.73  - 60.53 Lac,10,3 BHK,"Posted on 05th Aug, 2021 by Dealer"
234,,Residential land / Plot in Miyapur,900 sq.ft. (84 sq.m.) Plot Area,"₹ 90 Lac₹ 10,000/sq.ft.",10,,"Posted on 03rd Aug, 2021 by Owner"
235,Lotus Homes,1 BHK Residential Apartment in Nagaram,554-562 sq.ft. (51-52 sq.m.) Super built-up Area,"₹ 20.64  - 20.93 Lac₹ 3,725/sq.ft.",10,1 BHK1 Bath,"Posted on 03rd Aug, 2021 by Builder"
236,Lotus Homes,2 BHK Residential Apartment in Nagaram,741 sq.ft. (69 sq.m.) Super built-up Area,"₹ 27.6 Lac₹ 3,725/sq.ft.",10,2 BHK2 Baths,"Posted on 03rd Aug, 2021 by Builder"
237,Mahalaxmis Sri Nilayam,3 BHK Residential Apartment in Uppal,"1,524-2,106 sq.ft. (142-196 sq.m.) Super built-up Area","₹ 79.25 Lac - 1.1 Cr₹ 5,200/sq.ft.",10,3 BHK,"Posted on 29th Jul, 2021 by Builder"
